Date_BJT,SelectionTime_BJT,Rank,Symbol,PE6h,PE12h,PE24h,PE72h,SelectionPrice,SelectionMA30,SelectionATR14,UniverseUsed,DataQuality,BuyA_Time_BJT,BuyA_Price,BuyB_Time_BJT,BuyB_Price,BuyC_Time_BJT,BuyC_Price,FilledTranches,MarginUsed_USD,NotionalFilled_USD,AvgEntry,TP1_Time_BJT,TP1_Price,TP2_Target_Last,TP2_Time_BJT,TP2_Price,Stop_Time_BJT,Stop_Price,ExitTime_BJT,ExitPrice,ExitReason,GrossPnL_USD,FeesAssumed_USD,NetPnL_USD,ReturnOnUsedMarginPct,NetReturnOnUsedMarginPct,MAE_Pct,MFE_Pct,HoldHours,LiqRiskFlag,TP1Executed,OpenRemainingQty,Notes
2026-04-02,2026-04-02 08:00,1,HOTUSDT,1.000000000000018,0.11903683303533225,0.16947811694727313,0.12100466063321885,0.000412,0.00040666666666666667,4.48160521632289e-06,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 09:00,0.00041161863341515696,2026-04-02 08:30,0.000413389074491151,2026-04-02 09:15,0.0004071,3,30.0,300.0,0.0004107025693021026,,,0.0004928430831625232,,,2026-04-02 09:59,0.000407,2026-04-02 09:59,0.000407,STOP_MA30_CLOSE,-2.692165555626653,0.2986539172221867,-2.9908194728488393,-8.973885185422176,-9.969398242829465,-1.8754616790421896,0.8734932129722539,1.4999997222222223,False,False,0.0,
2026-04-02,2026-04-02 08:00,2,CTSIUSDT,1.0000000000000013,0.6918500844413437,0.17909034446676467,0.08885812283914056,0.0224,0.021863333333333335,0.00029378739105728323,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 12:00,0.022264246191065883,2026-04-02 08:15,0.02230401441991926,2026-04-02 12:15,0.02192,3,30.0,300.0,0.02216275353699505,2026-04-02 08:45,0.022744695506505184,0.026595304244394057,,,2026-04-02 12:59,0.0219,2026-04-02 12:59,0.0219,STOP_MA30_CLOSE,-2.288879822933849,0.2988555600885331,-2.587735383022382,-7.629599409779497,-8.625784610074607,-2.0879785367039383,3.5687996120100207,4.749999722222222,False,True,0.0,
2026-04-02,2026-04-02 08:00,3,TAGUSDT,0.9393621805139417,0.8863048851474506,0.6641429640630477,0.31490973834930824,0.0007581,0.00059385,2.6594643774174228e-05,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 23:00,0.0007000707292907458,2026-04-02 08:30,0.0006337419656612614,,,2,20.0,200.0,0.0006669063474760036,2026-04-02 08:45,0.0006736339313225228,0.0008002876169712043,2026-04-03 04:00,0.0008002876169712043,,,2026-04-03 04:00,0.0008002876169712043,TP2,33.999909248822505,0.21699995462441127,33.78290929419809,169.99954624411254,168.91454647099047,-1.2058481330469606,22.684001080587745,19.5,False,True,0.0,
2026-04-02,2026-04-02 08:00,4,SAFEUSDT,0.9366001219705561,0.7092930940233662,0.6354473784639185,0.3468415514766723,0.1034,0.09852333333333334,0.001154171231013622,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 09:15,0.09996411138117932,2026-04-02 09:00,0.10059283373843564,2026-04-02 11:30,0.09895333333333332,3,30.0,300.0,0.09983675948431608,,,0.1198041113811793,,,2026-04-02 12:59,0.0979,2026-04-02 12:59,0.0979,STOP_MA30_CLOSE,-5.806291058719482,0.29709685447064027,-6.103387913190122,-19.35430352906494,-20.344626377300408,-2.3405802596018543,1.0012306285984929,3.9999997222222223,False,False,0.0,
2026-04-02,2026-04-02 08:00,5,DUSKUSDT,0.9252480500409109,0.8658140339498511,0.42706690822203,0.020432774443580392,0.10818,0.104225,0.0014532332183908622,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 18:00,0.11013300795738946,2026-04-02 17:30,0.11103060259783426,2026-04-02 22:00,0.10839733333333333,3,30.0,300.0,0.10985364796285234,,,0.1318243775554228,,,2026-04-02 23:59,0.10651,2026-04-02 23:59,0.10651,STOP_MA30_CLOSE,-9.102283543791208,0.2954488582281044,-9.397732402019312,-30.340945145970693,-31.325774673397706,-3.29861413803727,2.3766972476079173,6.499999722222222,False,False,0.0,
2026-04-02,2026-04-02 08:00,6,NMRUSDT,0.9232155303439993,0.6590779826350259,0.5835732762869669,0.38987407347711217,7.136,6.747033333333333,0.08335805351676513,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 11:45,6.89842414124502,2026-04-02 11:30,6.949986211867529,,,2,20.0,200.0,6.924205176556274,2026-04-02 13:30,7.1412136374722355,8.309046211867528,2026-04-03 01:15,8.309046211867528,,,2026-04-03 01:15,8.309046211867528,TP2,28.871649768678346,0.21443582488433918,28.657213943794005,144.35824884339172,143.28606971897003,-0.753951900978167,18.555123522245374,13.75,False,True,0.0,
2026-04-02,2026-04-02 08:00,7,LAUSDT,0.9095381279587208,0.9782790857120732,0.2640996987343682,0.19423383582174533,0.1944,0.18917,0.0024172358359688126,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 09:30,0.1921112428000663,2026-04-02 09:30,0.1933585308667661,2026-04-02 20:00,0.19251666666666667,3,30.0,300.0,0.192662146777833,,,0.23119457613339958,,,2026-04-02 20:59,0.1902,2026-04-02 20:59,0.1902,STOP_MA30_CLOSE,-3.8317315252935935,0.29808413423735325,-4.129815659530947,-12.772438417645313,-13.76605219843649,-1.4336738295655627,2.6280209306173363,11.499999722222222,False,False,0.0,AMBIGUOUS_INTRABAR
2026-04-02,2026-04-02 08:00,8,SOLVUSDT,0.9088490073562231,0.38836861244401216,0.25291936787459884,0.3256731991354906,0.003875,0.0035557,0.00014166747072046865,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 13:15,0.0037717507318494803,2026-04-02 09:30,0.003781953500884462,,,2,20.0,200.0,0.003776852116366971,2026-04-02 13:45,0.004040052195548441,0.004532222539640365,2026-04-02 14:45,0.004532222539640365,,,2026-04-02 14:45,0.004532222539640365,TP2,31.399809347630626,0.21569990467381533,31.18410944295681,156.9990467381531,155.92054721478405,-0.39539092379018426,18.193666642526907,5.25,False,True,0.0,
2026-04-02,2026-04-02 08:00,9,BABYUSDT,0.891731208360826,0.6921414529319455,0.057658814874198834,0.17494177157634028,0.01449,0.014079000000000001,0.00021950790736925764,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 11:30,0.014370242300470211,2026-04-02 10:00,0.014473596536657009,2026-04-02 12:00,0.014130333333333333,3,30.0,300.0,0.014324724056820184,,,0.01718966886818422,,,2026-04-02 17:59,0.01404,2026-04-02 17:59,0.01404,STOP_MA30_CLOSE,-5.933161022412705,0.2970334194887937,-6.2301944419014985,-19.77720340804235,-20.767314806338327,-2.4763063875655966,1.495160258163275,7.999999722222222,False,False,0.0,
2026-04-02,2026-04-02 08:00,10,KAITOUSDT,0.8279511650127414,0.16148799973817476,0.06484580378904743,0.24457442824502684,0.4086,0.4055066666666667,0.003342939080472662,502,SURVIVORSHIP_BIAS_CURRENT_527,2026-04-02 08:00,0.40884960574713936,2026-04-02 08:30,0.4105210752873757,2026-04-02 11:30,0.40595666666666663,3,30.0,300.0,0.40844244923372724,2026-04-02 18:30,0.4179333879909175,0.49013093908047267,,,2026-04-04 03:59,0.4201,2026-04-04 03:59,0.4201,STOP_MA30_CLOSE,8.043864825445093,0.3040219324127226,7.73984289303237,26.81288275148364,25.7994763101079,-1.087656104810264,8.411846229678254,43.99999972222222,False,True,0.0,
